Stress and strain data from a mechanical pull test,
,
Strain (uin/in),Stress (MPa)
The moving average window size of this data is 10
26.162858885000002,26.072489605
26.072489605,32.808740404999995
32.808740404999995,32.08956422
32.08956422,23.8708488835
23.8708488835,25.001283077
25.001283077,24.9635945975
24.9635945975,42.567577299999996
42.567577299999996,42.466310985
42.466310985,39.631344255
39.631344255,41.552736265
41.552736265,31.207080975
31.207080975,31.651197619999998
31.651197619999998,40.583403135
40.583403135,30.944058804999997
30.944058804999997,28.80598352
28.80598352,34.96492653
34.96492653,33.69403971
33.69403971,35.192570495
35.192570495,34.434156779999995
34.434156779999995,32.88519491
32.88519491,32.338219615
32.338219615,33.91602197
33.91602197,36.34755329
36.34755329,41.667899055
41.667899055,45.59348256
45.59348256,27.940786405
27.940786405,39.78041375
39.78041375,44.14004523
44.14004523,41.436754305
41.436754305,35.96907925
35.96907925,32.61493211
32.61493211,35.036108549999994
35.036108549999994,35.416796005
35.416796005,25.7883998235
25.7883998235,34.123984835
34.123984835,38.40563819
38.40563819,33.835781255
33.835781255,41.910494875
41.910494875,38.49894345
38.49894345,34.032296065000004
34.032296065000004,39.546588135
39.546588135,38.9606302
38.9606302,33.20526599
33.20526599,39.337014405
39.337014405,37.761261265
37.761261265,34.45711945
34.45711945,28.4009693925
28.4009693925,47.473956865000005
47.473956865000005,49.6009737
49.6009737,26.6701219665
26.6701219665,35.43770609
35.43770609,37.99104486
37.99104486,43.71991446
43.71991446,47.27027631
47.27027631,38.869748445
38.869748445,40.34020993
40.34020993,40.78001674
40.78001674,44.11164045
44.11164045,48.53802819
48.53802819,47.956353745
47.956353745,43.663487915
43.663487915,45.994306955
45.994306955,47.958119415
47.958119415,44.462755064999996
44.462755064999996,50.25950718
50.25950718,44.26593859
44.26593859,48.2637587
48.2637587,37.38258525
37.38258525,39.085105095
39.085105095,59.102327130000006
59.102327130000006,40.233121135
40.233121135,47.140823705
47.140823705,39.339510535
39.339510535,37.004788489999996
37.004788489999996,35.5404538545
35.5404538545,38.38350112
38.38350112,51.19286619499999
51.19286619499999,48.879519619999996
48.879519619999996,42.701157885
42.701157885,49.60651448
49.60651448,48.500754445
48.500754445,37.754611777499996
37.754611777499996,48.76600582499999
48.76600582499999,52.177448015
52.177448015,51.84644403
51.84644403,41.82051182
41.82051182,46.322246815
46.322246815,48.53076788
48.53076788,45.858258765
45.858258765,43.78936472
43.78936472,48.78158068
48.78158068,48.65170707
48.65170707,55.21468792499999
55.21468792499999,49.925073160000004
49.925073160000004,52.367721495
52.367721495,52.379048495
52.379048495,34.9941781505
34.9941781505,51.67773681
51.67773681,50.655502985000005
50.655502985000005,48.7371273
48.7371273,47.51766081
47.51766081,55.142756934999994
55.142756934999994,65.47241978
65.47241978,56.59529463
56.59529463,47.667859410000005
47.667859410000005,51.92839963
51.92839963,62.905263254999994
62.905263254999994,49.084773635
49.084773635,53.17065692
53.17065692,60.82000517
60.82000517,58.131315425
58.131315425,51.70362274
51.70362274,48.68240357
48.68240357,60.703288220000005
60.703288220000005,53.481632860000005
53.481632860000005,60.96483144
60.96483144,52.710504655
