n,Error
2693,19.669717542537
2699,17.681076552199556
2707,17.689536384379608
2711,13.69510451760334
2713,7.697788392151324
2719,5.69759541034955
2729,7.694532936860014
2731,1.688608298964482
2741,3.6798287868500665
2749,3.668201653885262
2753,-0.3462658830944747
2767,5.636433356477937
2777,7.616306517180419
2789,11.593360707869124
2791,5.567603001943553
2797,3.539040437611675
2801,-0.49231998184905024
2803,-6.526471287832464
2819,1.4365934538527654
2833,7.396881143235987
2837,3.3543986464346744
2843,1.3091527959068117
2851,1.261150390693274
2857,-0.7896018033361543
2861,-4.843097053241763
2879,5.100671341226189
2887,5.041710047863944
2897,6.980025702247531
2903,4.915624907966503
2909,2.8485142368544984
2917,2.7787002292157013
2927,4.706189394052672
2939,8.630988209288262
2953,14.553103121986624
2957,10.47254054857558
2963,8.389306875061266
2969,6.303408457243677
2971,0.21485162093176768
2999,20.12364266215218
3001,14.029787847360694
3011,15.933293413648244
3019,15.834165568948265
3023,11.73241049223634
3037,17.628034333736196
3041,13.52104321511706
3049,13.41144322969194
3061,17.2992404426127
3067,15.18444089106788
3079,19.067050584470508
3083,14.94707550465182
3089,12.82452160604953
3109,24.699394815896085
3119,26.571701034401485
3121,20.441446134940634
3137,28.308635964232963
3163,46.17327634252479
3167,42.035373063766656
3169,35.89493189579207
3181,39.751958580492555
3187,37.60645883399229
3191,33.45843834682
3203,37.30790278408131
3209,35.15485778562697
3217,34.99930896622209
3221,30.84126191571113
3229,30.680722199185766
3251,44.51769535714584
3253,38.35218690566353
3257,34.1842023365416
3259,28.01374711747667
3271,31.84082669221334
3299,51.665446480704304
3301,45.48761187926175
3307,43.307328260716076
3313,41.12460097456369
3319,38.93943534712116
3323,34.75183668167574
3329,32.56181025863134
3331,26.36936133565723
3343,30.17449514783584
3347,25.97721690780554
3359,29.7775318059048
3361,23.57544501031498
3371,25.3709616672013
3373,19.164086900854727
3389,26.95482581382612
3391,20.743183487069473
3407,28.52916498007562
3413,26.31277533100456
3433,38.0940195568287
3449,45.87290265345655
3457,45.64942959586915
3461,41.42360533825013
3463,35.19543481411711
3467,30.964922936449057
3469,24.732074597811334
3491,38.49689467048847
3499,38.25938800660424
3511,42.01955943824987
3517,39.777413777603215
3527,41.53295581705697
3529,35.28619032933602
3533,31.037122067618384
3539,28.78575576565754
3541,22.532096137897497
3547,20.276147879592827
3557,22.017915666923727
3559,15.757404157111978
3571,19.49461798853781
3581,21.229561780851327
3583,14.962240135086176
3593,16.692657633770523
3607,22.420818841041637
3613,20.146728302753218
3617,15.870390546584076
3623,13.591810082149095
3631,13.310991401105184
3637,11.027938977260419
3643,8.742657266675451
3659,16.45515070777219
3671,20.165423721439765
3673,13.873480711132743
3677,9.579326062977088
3691,15.282964145872029
3697,12.984399311591005
3701,8.683635894880808
3709,8.380678213561623
3719,10.075530568626164
3727,9.768197244336989
3733,7.458682508326092
3739,5.146990611685851
3761,18.833125789071346
3767,16.517092258790854
3769,10.19889422290089
3779,11.878535867301252
3793,17.556021361825515
3797,13.231354860336978
3803,10.904540500814619
3821,20.57558240544722
3823,14.244484680725236
3833,15.911251417524
3847,21.575886691199685
3851,17.238394561670248
3853,10.898779073509104
3863,12.557044256026984
3877,18.213194123360154
3881,13.867232674556817
3889,13.519163893657606
3907,23.16899174978562
3911,18.816720197225095
3917,16.462353175505086
3919,10.105894609485404
3923,5.747348409432561
3929,3.386718471104814
3931,-2.9759913241687173
3943,0.6592228905929005
3947,-3.7076350319016456
3967,7.923438746868214
3989,21.552448051306328
4001,25.17939669178213
4003,18.804288464709316
4007,14.427127152613593
4013,12.047916524219545
4019,9.666660334517019
4021,3.2833623248402546
4027,0.898026222941553
4049,14.510655743064945
4051,8.12125458601804
4057,5.729826439245699
4073,13.33637497690188
4079,10.940903859921491
4091,14.543416736091785
4093,8.143917240121027
4099,5.7424089937107965
4111,9.338895605624202
4127,16.933380671755003
4129,10.525867775197185
4133,6.1163604863113505
4139,3.7048623627943016
4153,9.291376949744517
4157,4.875907779729459
4159,-1.5415416271489448
4177,8.039032236813
4201,23.617632866985332
4211,25.194263746466277
4217,22.76892834615319
4219,16.34163012479985
4229,17.91237252908286
4231,11.481158993664394
4241,13.047992941254961
4243,6.612877782675241
4253,8.175816916918848
4259,5.736813731209622
4261,-0.7041283989310614
4271,0.8529938903702714
4273,-5.591816048598048
4283,-4.038554875070986
4289,-6.487219259754966
4297,-6.937805884759655
4327,14.609688556452056
4337,16.15526735912863
4339,9.698933807283538
4349,11.240691173754385
4357,10.780542720257472
4363,8.318491697446007
4373,9.854541344967402
4391,19.388694891516934
4397,16.920955554891407
4409,20.451326542048264
4421,23.979811049160162
4423,17.506412261662263
4441,27.03113335431408
4447,24.553977491251317
4451,20.074947826033167
4457,17.594047501705063
4463,15.111279650838696
4481,24.6266473955975
4483,18.140153847777583
4493,19.651802108865922
4507,25.161595270086764
4513,22.66953641245709
4517,18.175628606830287
4519,11.679874913953427
4523,7.1822783845136655
4547,22.68284205918644
4549,16.181568968686406
4561,19.678462133817447
4567,17.173524565515436
4583,24.666759264904613
4591,24.158169223339428
4597,21.647757422451832
4603,19.13552683420221
4621,28.621480420924854
4637,36.10562113537344
4639,29.58795192076741
4643,25.068475710839266
4649,22.54719542988005
4651,16.024113992782077
4657,13.499234305088976
4663,10.972559263036601
4673,12.444091753596695
4679,9.913834654528728
4691,13.381790834411731
4703,16.847963152698867
4721,26.312354459754715
4723,19.77496759690166
4729,17.23580539646082
4733,12.694870681793873
4751,22.152166267349457
4759,21.60769495870045
